StrategyID,策略ID
Sym1,标的1
Sym2,标的2
PosPnl(K),持仓盈亏
TraPnl(K),平仓盈亏
UseTime,消耗时间
PosAmount.E,现货持仓总金额
PosAmount.F,期货持仓总金额
Hedge.E.Amount,现货对冲总金额
Hedge.F.Amount,期货对冲总金额
BlockSize,交易分笔
HedgeCalQty,对冲量
Amount.E.B,现货买入总市值
Amount.E.S,现货卖出总市值
Amount.E.NET.SH,上海市场现货总市值
Amount.E.NET.SZ,深圳市场现货总市值
spreadORG,原始基差
spread,基差
slippage.cy,单笔交易滑点
slippage.avg,平均交易滑点
alpha,绝对收益
spreadMOD,调整基差
slippage,滑点
m.print,行情打印
c.market,检查行情时延
BlockSize.E,现货交易单位
MinBlockQty.E,现货最小交易数量
BlockTime,在途订单有效时间
capPerStock,手数
entryThd,买入价格最大涨幅
exitThd,卖出价格最大跌幅
tradeThd,交易阈值
hedgeRatio,对冲比例
tradeMode,交易模式
tradeRate,交易比例
statmode,套利模式
basisthd,基差阈值
offset,基差偏移量
d.alpha,alpha偏移
d.if.time,指数期货行情最大时间差
d.time,指数行情最大延迟时间
canprint,日志开关
BUY.AMOUNT,买入量
SELL.AMOUNT,卖出量
POSPNL.T,当日持仓盈亏
POSPNL,总持仓盈亏
TRAPNL.T,当日对冲交易盈亏
POPNL.T,单边净持仓盈亏
TOTALPNL.T,当日盈亏
TOTALPNL,总盈亏
TradingPnl,交易盈亏
IntraTradingFee,对冲交易手续费
TotalTradingFee,总手续费
TodayPosPnl,今持仓盈亏
IOPV,净值
TotalOrderQty,总委托量
FilledQty,已成交量
WorkingQty,在途量
SingleOrderQty,单笔委托量
Day Pnl,当日盈亏
O/N Pnl,盈亏开关
Change(%),换手率
Trade,交易量
DiffQty,差值
BUY.AMOUNT,买金额
SELL.AMOUNT,卖金额
BookView,行情
TotalAmount,总资金
AvlAmount,可用资金
FrzAmount,冻结资金
BuyFrzAmt,买冻结资金
SellFrzAmt,卖冻结资金
Buymargin,买保证金
SellMargin,卖保证金
TotalMargin,总保证金
PositionPL,持仓盈亏
ClosePL,平仓盈亏
OrderStatus,订单状态
Handle,启用
CancelSelected,选中撤单
PORTFOLIOO/NPnl,昨仓盈亏
U-Key,U-key
Symbol,名称
OrderId,订单ID
Time,时间
Strategy,策略
Ask/Bid,买/卖
Price,价格
OrderVol,送单量
DoneVol,成交量
Status,状态
Account,账户
Volume,数量
Action,方向
Buy,买
Sell,卖
Clear,清除
Submit,提交
Code,证券代码
PORTFOLIOValue,总市值
PORTFOLIODaypnl,当日盈亏
Count,数量
LoadCSV,导入CSV
StartAll,全部开始
PauseAll,全部暂停
StopAll,全部停止
WatchAll,全部监视
Req,查询
Secucategory,证券类型
TotalQty,持仓量
AvlQty,可卖量
AvlCreRedempVol,可申购量
TotalCost,持仓成本
TodayOpen,今开仓量
AvgPrice,均价
Type,类型
Date,日期
ShangHai,上海
ShenZhen,深圳
Fee,费用
OrderType,订单类型
OrderTime,成交时间
OrderPrice,成交价
SymbolCode,股票代码
Content,内容
Position,仓位
Amount,金额
Name,股票名称
PreQty,上笔量
TargetQty,目标仓位
CurrQty,当前仓位
FillPace,成交进度
Send,送单
Cancel,撤单
PrePrice,上笔价
LastPrice,昨收
BidSize,买入量
BidPrice,买入价
AskPrice,卖出价
AskSize,卖出量
AvgBuyPrice,买入均价
AvgSellPrice,卖出均价
PreValue,上笔成本
CurrValue,持仓成本
AvgPrice(B),买入均价
AvgPrice(S),卖出均价
PositionPnl,持仓盈亏
LastTradingFee,上笔费用
LastPosPnl,昨仓盈亏
TotalPnl,总盈亏
LastPosition,昨仓
TodayPosition,今仓
LastClose,昨收价
MarketPrice,市场价
BidVol,挂买量
AskVol,挂卖量
TransVol,成交量
Start,开始
Stop,停止
Pause,暂停
Watch,监视
All,全选
All-Buy,全买
All-Sell,全卖
orderrate,订单比例
sendselected,送选中单
cancelselected,撤选中单
DoneOrders,完结订单
Manultrader,人工交易
LOG,日志
StatArb,统计套利
Portfolio,投资组合
StrategyMonitor,策略监控
Profit,收益
Check,选中
plantime,计划时间
pricelevel,价格档位
pricetick,价格单位
trycount,重试次数
trytime,重试间隔
waittime,等待时间
ordertype,委托类型
depth,买卖深度
canceloutside,撤销外部订单
completerate,完成比例
totalordertime,订单总时间
maxsellworking,最大在途买量
maxbuyworking,最大在途卖量
maxworking,最大在途量
clearpostime,清仓时间
canclearpostime,设置清仓时间
algoid,算法ID
TradeBeginTime,交易起始时间
WaitMarkTie,行情最大延时
HedgeMode,对冲模式
BlockSize.F,期货交易分笔
MinBlockQty.F,期货最小交易数量
MaxBlockTime,订单最大有效时间
displayTime,最小计算交易量间隔时间
OrderSplit.F,期货单笔最大量
IsHedge,对冲
Amount.E.B.SH,沪市股票买入总值
Amount.E.B.SZ,深市股票买入总值
Amount.E.S.SH,沪市股票卖出总值
Amount.E.S.SZ,深市股票卖出总值
cantrade,交易
MaxOrder_ASTOCK,股票最大委托数
MaxPosition_ASTOCK,股票最大持仓
MaxBuyQty_ASTOCK,股票最大买入量
MaxSellQty_ASTOCK,股票最大卖出量
MaxBuyCount_ASTOCK,股票最大买入次数
MaxSellCount_ASTOCK,股票最大卖出次数
MaxDrawdown_ASTOCK,股票最大回撤
MaxLoss_ASTOCK,单只股票最大亏损值
ConsecutiveLoss_ASTOCK,最大连续亏损
MaxCancelCount_ASTOCK,股票最大撤单数量
MaxUnacked_ASTOCK,股票最大未响应数
MaxUnhedgedAmount_ASTOCK,股票最大对冲风险敞口
MaxTradingTimes_ASTOCK,股票最大循环交易次数
MaxOrder_IF,期货最大委托量
MaxPosition_IF,期货最大持仓
MaxBuyQty_IF,期货最大买入量
MaxSellQty_IF,期货最大卖出量
MaxBuyCount_IF,期货最大买入次数
MaxSellCount_IF,期货最大卖出次数
MaxDrawdown_IF,期货最大回撤
MaxLoss_IF,期货最大亏损数
ConsecutiveLoss_IF,期货最大连续亏损值
MaxCancelCount_IF,期货最大撤单数
MaxUnacked_IF,期货最大未响应订单数
MaxUnhedgedAmount_IF,期货最大对冲风险敞口
MaxTradingTimes_IF,期货最大循环交易次数
Comment,参数
Value,值
Key,参数名
Config,配置
order,订单
cancel,撤单
getorder,获取订单
refresh,刷新
ParameterConfig,参数配置
parameter,参数
secucategory,证券种类
Coeff,系数
Initialize,初始化
Code1,前腿
Code2,后腿
Min,最小值
Max,最大值
Tick,最小间隔
Change,修改
Currency,币种
