ukcode,jycode,inputcode,chabbr,windcode
1114113,17,SJXY,000005,世纪星源,000005.SZ
1114114,14,GNKJ,000004,国农科技,000004.SZ
1114115,6,WKA,000002,万  科Ａ,000002.SZ
1114116,3,PAYH,000001,平安银行,000001.SZ
1114117,28,ZGBA,000009,中国宝安,000009.SZ
1114119,38,NBA,000012,南  玻Ａ,000012.SZ
1114120,47,SKJA,000016,深康佳Ａ,000016.SZ
1114121,34,SWYA,000011,深物业Ａ,000011.SZ
1114122,49,SZHA,000017,深中华Ａ,000017.SZ
1114123,23,QXH,000007,全 新 好,000007.SZ
1114124,20,SZYA,000006,深振业Ａ,000006.SZ
1114125,55,SHFA,000020,深华发Ａ,000020.SZ
1114127,26,SZGT,000008,神州高铁,000008.SZ
1114128,43,SHGF,000014,沙河股份,000014.SZ
1114129,51,SZCC,000018,神州长城,000018.SZ
1114131,53,SSBA,000019,深深宝Ａ,000019.SZ
1114132,181,EWSA,000501,鄂武商Ａ,000501.SZ
1114133,182,LJKG,000502,绿景控股,000502.SZ
1114134,184,HHKG,000503,海虹控股,000503.SZ
1114135,185,NHSW,000504,南华生物,000504.SZ
1114136,186,ZJKG,000505,珠江控股,000505.SZ
1114137,188,ZRZY,000506,中润资源,000506.SZ
1114138,189,ZHG,000507,珠 海 港,000507.SZ
1114139,60,STDA,000023,深天地Ａ,000023.SZ
1114141,58,SCWA,000022,深赤湾Ａ,000022.SZ
1114142,191,HSKG,000509,华塑控股,000509.SZ
1114143,192,JLJT,000510,金路集团,000510.SZ
1114144,193,STXT,000511,*ST 烯碳,000511.SZ
1114145,65,FYDA,000026,飞亚达Ａ,000026.SZ
1114147,63,TLA,000025,特  力Ａ,000025.SZ
1114148,196,YKF,000514,渝 开 发,000514.SZ
1114150,199,RADC,000517,荣安地产,000517.SZ
1114151,68,GYYZ,000028,国药一致,000028.SZ
1114152,198,GJYX,000516,国际医学,000516.SZ
1114153,67,SZNY,000027,深圳能源,000027.SZ
1114154,200,SHSW,000518,四环生物,000518.SZ
1114155,70,SSFA,000029,深深房Ａ,000029.SZ
1114156,72,FAGF,000030,富奥股份,000030.SZ
1114157,74,ZLDC,000031,中粮地产,000031.SZ
1114158,201,ZBHJ,000519,中兵红箭,000519.SZ
1114159,203,MLDQ,000521,美菱电器,000521.SZ
1114160,202,CHFH,000520,长航凤凰,000520.SZ
1114161,75,SSDA,000032,深桑达Ａ,000032.SZ
1114162,194,LZJT,000513,丽珠集团,000513.SZ
1114163,208,HTY,000525,红 太 阳,000525.SZ
1114164,209,STZX,000526,*ST 紫学,000526.SZ
1114166,206,GZLQ,000523,广州浪奇,000523.SZ
1114168,207,LNKG,000524,岭南控股,000524.SZ
1114169,211,LG,000528,柳    工,000528.SZ
1114170,212,GHKG,000529,广弘控股,000529.SZ
1114171,226,FSZM,000541,佛山照明,000541.SZ
1114172,220,HYKJ,000536,华映科技,000536.SZ
1114173,223,YDLA,000539,粤电力Ａ,000539.SZ
1114175,233,HTFZ,000547,航天发展,000547.SZ
1114177,236,JLQC,000550,江铃汽车,000550.SZ
1114178,240,SLDA,000553,沙隆达Ａ,000553.SZ
1114179,213,DLGF,000530,大冷股份,000530.SZ
1114180,230,ZYHB,000544,中原环保,000544.SZ
1114181,221,GYFZ,000537,广宇发展,000537.SZ
1114182,222,YNBY,000538,云南白药,000538.SZ
1114183,231,JPTY,000545,金浦钛业,000545.SZ
1114184,232,JYGF,000546,金圆股份,000546.SZ
1114185,242,TSSY,000554,泰山石油,000554.SZ
1114186,229,WNDL,000543,皖能电力,000543.SZ
1114187,234,HNTZ,000548,湖南投资,000548.SZ
1114190,216,HJZB,000532,华金资本,000532.SZ
1114191,217,WJL,000533,万 家 乐,000533.SZ
1114192,215,SHYA,000531,穗恒运Ａ,000531.SZ
1114193,238,CYKJ,000551,创元科技,000551.SZ
1114194,239,JYMD,000552,靖远煤电,000552.SZ
1114195,218,WZGF,000534,万泽股份,000534.SZ
1114196,247,WXQC,000559,万向钱潮,000559.SZ
1114197,251,SGTA,000563,陕国投Ａ,000563.SZ
1114198,252,GXDJ,000564,供销大集,000564.SZ
1114199,57,SKJ,000021,深 科 技,000021.SZ
1114200,225,ZTJR,000540,中天金融,000540.SZ
1114201,248,KBDA,000560,昆百大Ａ,000560.SZ
1114203,78,ZGTY,000035,中国天楹,000035.SZ
1114204,83,ZJJT,000039,中集集团,000039.SZ
1114205,243,SZXX,000555,神州信息,000555.SZ
1114206,253,YSXA,000565,渝三峡Ａ,000565.SZ
1114208,77,SZSM,000034,神州数码,000034.SZ
1114209,246,LYTY,000558,莱茵体育,000558.SZ
1114210,249,FHDZ,000561,烽火电子,000561.SZ
1114211,256,LZLJ,000568,泸州老窖,000568.SZ
1114213,254,HNHY,000566,海南海药,000566.SZ
1114214,255,HDGF,000567,海德股份,000567.SZ
1114215,260,XDZA,000571,新大洲Ａ,000571.SZ
1114216,79,HLKG,000036,华联控股,000036.SZ
1114217,245,XBCY,000557,西部创业,000557.SZ
1114218,80,SNDA,000037,深南电Ａ,000037.SZ
1114219,258,SCCA,000570,苏常柴Ａ,000570.SZ
1114220,82,SDT,000038,深 大 通,000038.SZ
1114221,85,DXLT,000040,东旭蓝天,000040.SZ
1114222,261,HMQC,000572,海马汽车,000572.SZ
1114223,88,SFZA,000045,深纺织Ａ,000045.SZ
1114224,262,YHYA,000573,粤宏远Ａ,000573.SZ
1114225,263,GDGH,000576,广东甘化,000576.SZ
1114226,90,FHKG,000046,泛海控股,000046.SZ
1114227,86,ZZKG,000042,中洲控股,000042.SZ
1114228,87,ZHDC,000043,中航地产,000043.SZ
1114230,92,KDE,000048,康 达 尔,000048.SZ
1114232,94,STMA,000050,深天马Ａ,000050.SZ
1114233,93,DSDC,000049,德赛电池,000049.SZ
1114234,31,MLST,000010,美丽生态,000010.SZ
1114236,267,BBWG,000582,北部湾港,000582.SZ
1114237,269,YLKG,000584,友利控股,000584.SZ
1114238,270,DBDQ,000585,东北电气,000585.SZ
1114239,272,HYTX,000586,汇源通信,000586.SZ
1114240,276,QDGH,000590,启迪古汉,000590.SZ
1114242,277,TYN,000591,太 阳 能,000591.SZ
1114243,275,QLTA,000589,黔轮胎Ａ,000589.SZ
1114244,279,DTRQ,000593,大通燃气,000593.SZ
1114246,278,PTFZ,000592,平潭发展,000592.SZ
1114247,95,FDJT,000055,方大集团,000055.SZ
1114248,281,STBS,000595,*ST 宝实,000595.SZ
1114249,273,JZCH,000587,金洲慈航,000587.SZ
1114250,286,QDSX,000599,青岛双星,000599.SZ
1114251,284,DBZY,000597,东北制药,000597.SZ
1114252,285,XRHJ,000598,兴蓉环境,000598.SZ
1114253,287,JTNY,000600,建投能源,000600.SZ
1114254,148,JDSN,000401,冀东水泥,000401.SZ
1114255,151,HYYS,000404,华意压缩,000404.SZ
1114257,149,JRJ,000402,金 融 街,000402.SZ
1114258,156,SDDK,000409,山东地矿,000409.SZ
1114259,150,STSH,000403,ST 生 化,000403.SZ
1114261,155,ZGKG,000408,藏格控股,000408.SZ
1114262,154,SLGF,000407,胜利股份,000407.SZ
1114263,97,HTGJ,000056,皇庭国际,000056.SZ
1114265,158,YTJT,000411,英特集团,000411.SZ
1114266,162,BHJK,000415,渤海金控,000415.SZ
1114267,157,STSJ,000410,*ST 沈机,000410.SZ
1114268,163,MSKG,000416,民生控股,000416.SZ
1114269,171,DEEJ,000423,东阿阿胶,000423.SZ
1114270,168,JLHX,000420,吉林化纤,000420.SZ
1114271,169,NJGY,000421,南京公用,000421.SZ
1114272,174,HTJD,000428,华天酒店,000428.SZ
1114273,164,HFBH,000417,合肥百货,000417.SZ
1114274,170,HBYH,000422,湖北宜化,000422.SZ
1114275,167,TCKG,000419,通程控股,000419.SZ
1114277,290,SDKY,000603,盛达矿业,000603.SZ
1114278,172,XGJX,000425,徐工机械,000425.SZ
1114279,173,XYKY,000426,兴业矿业,000426.SZ
1114280,177,ZJJ,000430,张 家 界,000430.SZ
1114281,288,SNGF,000601,韶能股份,000601.SZ
1114282,293,HMKG,000607,华媒控股,000607.SZ
1114283,291,BHGF,000605,渤海股份,000605.SZ
1114284,294,YGGF,000608,阳光股份,000608.SZ
1114285,160,DXGD,000413,东旭光电,000413.SZ
1114286,296,XALY,000610,西安旅游,000610.SZ
1114287,298,JZWF,000612,焦作万方,000612.SZ
1114288,282,GJGJ,000596,古井贡酒,000596.SZ
1114289,292,SZYQ,000606,神州易桥,000606.SZ
1114290,297,TSFZ,000611,天首发展,000611.SZ
1114291,295,MSTZ,000609,绵石投资,000609.SZ
1114293,301,JHGF,000615,京汉股份,000615.SZ
1114294,303,ZYZB,000617,中油资本,000617.SZ
1114295,306,HLXC,000619,海螺型材,000619.SZ
1114296,310,JLAD,000623,吉林敖东,000623.SZ
1114297,307,XHL,000620,新 华 联,000620.SZ
1114299,309,HLSY,000622,恒立实业,000622.SZ
1114300,302,HHTZ,000616,海航投资,000616.SZ
1114301,314,TMJT,000627,天茂集团,000627.SZ
1114302,322,HJTZ,000633,合金投资,000633.SZ
1114303,325,MHSH,000637,茂化实华,000637.SZ
1114304,316,STFT,000629,*ST 钒钛,000629.SZ
1114305,315,GXFZ,000628,高新发展,000628.SZ
1114306,329,GLDQ,000651,格力电器,000651.SZ
1114307,318,TLYS,000630,铜陵有色,000630.SZ
1114308,323,YLT,000635,英 力 特,000635.SZ
1114309,321,SMJT,000632,三木集团,000632.SZ
1114310,320,SFHY,000631,顺发恒业,000631.SZ
1114311,326,WFFZ,000638,万方发展,000638.SZ
1114312,327,XWSP,000639,西王食品,000639.SZ
1114314,313,YDKG,000626,远大控股,000626.SZ
1114315,330,TDGF,000652,泰达股份,000652.SZ
1114316,332,JLKY,000655,金岭矿业,000655.SZ
1114317,333,JKGF,000656,金科股份,000656.SZ
1114318,324,FHGK,000636,风华高科,000636.SZ
1114319,336,STZF,000659,*ST 中富,000659.SZ
1114320,334,ZWGX,000657,中钨高新,000657.SZ
1114321,344,MHZY,000667,美好置业,000667.SZ
1114322,340,YALY,000663,永安林业,000663.SZ
1114324,328,RHYY,000650,仁和药业,000650.SZ
1114325,341,HBGD,000665,湖北广电,000665.SZ
1114326,342,JWFJ,000666,经纬纺机,000666.SZ
1114327,345,RFKG,000668,荣丰控股,000668.SZ
1114328,346,JHNY,000669,金鸿能源,000669.SZ
1114329,339,TXZH,000662,天夏智慧,000662.SZ
1114330,347,YFW,000670,盈 方 微,000670.SZ
1114332,338,CCGX,000661,长春高新,000661.SZ
1114333,348,YGC,000671,阳 光 城,000671.SZ
1114334,349,SFSN,000672,上峰水泥,000672.SZ
1114335,352,ZDGF,000676,智度股份,000676.SZ
1114336,99,SSG,000058,深 赛 格,000058.SZ
1114338,353,HTHL,000677,恒天海龙,000677.SZ
1114340,354,XYZC,000678,襄阳轴承,000678.SZ
1114341,103,NCP,000061,农 产 品,000061.SZ
1114342,363,JXKY,000688,建新矿业,000688.SZ
1114343,357,SJZG,000681,视觉中国,000681.SZ
1114344,358,DFDZ,000682,东方电子,000682.SZ
1114345,356,STGF,000680,山推股份,000680.SZ
1114346,102,ZJLN,000060,中金岭南,000060.SZ
1114347,360,ZSGY,000685,中山公用,000685.SZ
1114348,350,DDDF,000673,当代东方,000673.SZ
1114349,355,DLYY,000679,大连友谊,000679.SZ
1114350,299,STDHA,000613,*ST东海A,000613.SZ
1114351,365,BXNY,000690,宝新能源,000690.SZ
1114352,101,HJGF,000059,华锦股份,000059.SZ
1114353,104,SZHQ,000062,深圳华强,000062.SZ
1114354,359,YXNY,000683,远兴能源,000683.SZ
